"","AWT_seg_Thirona_P2","BODE_P2","Change_P2_P3_distwalked","Change_P2_P3_FEV1_ml","Change_P2_P3_FEV1_ml_yr","Change_P2_P3_FEV1pp","Change_P2_P3_lung_density_vnb","Chronic_Bronchitis_P2","copd_P2","distwalked_P2","DLco_raw_P2","Exacerbation_Frequency_P2","FEF2575_post_P2","FEV1_FVC_post_P2","FEV1_post_P2","finalGold_P2","FRC_Thirona_P2","FRC_TLC_ratio_Thirona_P2","FVC_post_P2","lung_density_vnb_P2","pctEmph_Thirona_P2","pctGasTrap_Thirona_P2","PEF_post_P2","Pi10_Thirona_P2","Resting_SaO2_P2","Severe_Exacerbations_P2","SGRQ_scoreTotal_P2","TLC_Thirona_P2","WallAreaPct_seg_Thirona_P2"
"M0000001021",0.0258211138079037,0,0,0,0,0,0,0,0.143524192864005,0,0,0,-0.0787140406198129,-0.00683919282161355,0,0.0191836640400646,0.0598615347504905,0.00684634102154699,0,0,0,0,0,0,0,0,0,0,0.138023186405492
"M0000001022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00623154351874564,0,0,0,0,0,-0.00369300596202081,0,0,0,0,0
"M0000001023",0,0,0,0,0,0,0,0,0.266283876605194,0,0,0,0,-0.00369233188513688,0,0.00297816722160871,0.000636746285409824,0,0,0,0,0,0,0,0,0,0,0,0
"M0000001024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000001025",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000122841352250088,0,0.0248490239746565,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000001026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22011245924901,0,0,0,0
"M0000001052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000001053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00273908842529545,0,0,0,0,0,0,0,-0.0117939906106435,0,0,0,0,0
"M0000001082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0000001083",0.00929779682161869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
